Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,female,48026,0.05%,female,PDE4DIP,1.970895311,0.217666221,4873
brain,female,48026,0.01%,female,AC159540.1,1.835316819,0.166545827,910
brain,female,48026,0.01%,female,RP11-289H16.1,1.805965681,0.155478866,1321
brain,female,48026,0.01%,female,RP11-219A15.1,1.897183945,0.189873066,706
brain,female,48026,0.00%,female,LINC01609,1.827672752,0.163663601,166
brain,female,48026,0.01%,female,PHYHIP,1.914230597,0.196300572,1159
brain,female,48026,0.01%,female,RP11-745L13.2,1.79817857,0.152542706,657
brain,male,2129410,1.03%,male,SLC26A3,2.169206125,0.292440081,93327
brain,male,2129410,1.42%,male,RASGEF1B,2.714097279,0.497893399,129165
brain,male,2129410,0.86%,male,RP11-701H24.9,1.959514571,0.213375069,77783
brain,male,2129410,0.07%,male,LINGO3,1.907487822,0.193758182,5947
brain,male,2129410,1.48%,male,PDE4DIP,1.875767154,0.181797782,134568
brain,male,2129410,0.59%,male,AC159540.1,1.902545493,0.191894658,53847
brain,male,2129410,0.40%,male,RP11-289H16.1,1.951880891,0.210496761,36497
brain,male,2129410,0.18%,male,RP11-219A15.1,1.848647137,0.171572074,16226
brain,male,2129410,0.35%,male,LINC01609,2.276452723,0.332877826,32139
brain,male,2129410,0.92%,male,PHYHIP,1.830669092,0.164793383,83490
brain,male,2129410,0.23%,male,RP11-745L13.2,1.872896776,0.180715494,21314
brain,female,1104515,0.31%,female,SLC26A3,1.944738742,0.207803786,28465
brain,female,1104515,0.44%,female,RASGEF1B,2.303633666,0.343126506,39810
brain,female,1104515,0.32%,female,RP11-701H24.9,2.045854198,0.24592976,28807
brain,female,1104515,0.01%,female,LINGO3,1.740835917,0.130921437,1358
brain,female,1104515,0.90%,female,PDE4DIP,1.792533891,0.150414358,81474
brain,female,1104515,0.32%,female,AC159540.1,1.778661854,0.145183853,29096
brain,female,1104515,0.16%,female,RP11-289H16.1,1.896003495,0.189427972,14382
brain,female,1104515,0.06%,female,RP11-219A15.1,1.845821867,0.170506795,5831
brain,female,1104515,0.03%,female,LINC01609,1.862909415,0.176949722,2583
brain,female,1104515,0.49%,female,PHYHIP,1.743745193,0.13201839,44853
brain,female,1104515,0.08%,female,RP11-745L13.2,1.849820151,0.172014364,7427
brain,male,8994,0.01%,male,SLC26A3,1.950662806,0.210037477,552
brain,male,8994,0.01%,male,RASGEF1B,1.99108086,0.225277261,869
brain,male,8994,0.01%,male,RP11-701H24.9,1.91972576,0.198372544,882
brain,male,8994,0.00%,male,LINGO3,1.814354134,0.158641765,5
brain,male,8994,0.00%,male,PDE4DIP,1.907003849,0.193575699,235
brain,male,8994,0.00%,male,AC159540.1,1.767188873,0.140857921,50
brain,male,8994,0.00%,male,RP11-289H16.1,1.989195171,0.224566254,19
brain,male,8994,0.00%,male,RP11-219A15.1,1.761864895,0.138850494,45
brain,male,8994,0.00%,male,LINC01609,2.019015206,0.235810014,9
brain,male,8994,0.00%,male,PHYHIP,1.944094332,0.207560809,337
brain,male,8994,0.00%,male,RP11-745L13.2,1.79341289,0.150745788,42
brain,female,2854,0.01%,female,SLC26A3,1.992370987,0.225763708,640
brain,female,2854,0.01%,female,RASGEF1B,2.123202969,0.275094413,1001
brain,female,2854,0.01%,female,RP11-701H24.9,2.02790947,0.23916363,640
brain,female,2854,0.00%,female,LINGO3,1.874665022,0.181382219,2
brain,female,2854,0.00%,female,PDE4DIP,1.997180216,0.227577046,153
brain,female,2854,0.00%,female,AC159540.1,1.989896334,0.224830631,26
brain,female,2854,0.00%,female,RP11-289H16.1,1.90064403,0.191177704,28
brain,female,2854,0.00%,female,RP11-219A15.1,1.849537441,0.171907767,28
brain,female,2854,0.00%,female,LINC01609,1.967197691,0.216272019,14
brain,female,2854,0.00%,female,PHYHIP,1.994779423,0.226671818,442
brain,female,2854,0.00%,female,RP11-745L13.2,1.884658287,0.185150218,29
brain,male,166272,0.02%,male,SLC26A3,1.900417315,0.19109222,2049
brain,male,166272,0.26%,male,RASGEF1B,2.204201122,0.30563508,23453
brain,male,166272,,male,RP11-701H24.9,,,
brain,male,166272,0.21%,male,LINGO3,1.989501075,0.224681597,18900
brain,male,166272,0.08%,male,PDE4DIP,2.079649927,0.25867257,7501
brain,male,166272,0.08%,male,AC159540.1,1.904196066,0.192517013,7527
brain,male,166272,0.05%,male,RP11-289H16.1,1.947699901,0.208920302,4810
brain,male,166272,0.00%,male,RP11-219A15.1,1.993680434,0.22625744,22
brain,male,166272,0.01%,male,LINC01609,1.905040129,0.19283527,1172
brain,male,166272,0.00%,male,PHYHIP,2.036754082,0.242498526,341
brain,male,166272,0.01%,male,RP11-745L13.2,1.904156138,0.192501958,1164
brain,female,124945,0.04%,female,SLC26A3,2.020395676,0.236330525,3318
brain,female,124945,0.22%,female,RASGEF1B,2.290996908,0.338361767,20244
brain,female,124945,,female,RP11-701H24.9,,,
brain,female,124945,0.13%,female,LINGO3,1.91088332,0.195038468,11449
brain,female,124945,0.15%,female,PDE4DIP,2.092421474,0.263488131,13443
brain,female,124945,0.05%,female,AC159540.1,1.923475235,0.199786298,4252
brain,female,124945,0.05%,female,RP11-289H16.1,2.025786444,0.238363135,4663
brain,female,124945,0.00%,female,RP11-219A15.1,1.703826904,0.116967045,19
brain,female,124945,0.01%,female,LINC01609,1.969815424,0.217259046,930
brain,female,124945,0.00%,female,PHYHIP,1.960948372,0.21391569,320
brain,female,124945,0.01%,female,RP11-745L13.2,1.930565146,0.202459576,1007
brain,male,755,0.00%,male,SLC26A3,2.280677258,0.334470703,71
brain,male,755,0.00%,male,RASGEF1B,2.301320907,0.342254471,109
brain,male,755,0.00%,male,RP11-701H24.9,2.379194588,0.371617044,145
brain,male,755,0.00%,male,LINGO3,2.137025356,0.280306198,2
brain,male,755,0.00%,male,PDE4DIP,1.783763051,0.147107279,16
brain,male,755,0.00%,male,AC159540.1,1.964023003,0.215074991,26
brain,male,755,0.00%,male,RP11-289H16.1,1.545730829,0.057356309,1
brain,male,755,0.00%,male,RP11-219A15.1,2.031973362,0.240695937,4
brain,male,755,,male,LINC01609,,,
brain,male,755,0.00%,male,PHYHIP,2.337029759,0.355718632,79
brain,male,755,0.00%,male,RP11-745L13.2,1.986980629,0.223731253,5
brain,female,324,0.00%,female,SLC26A3,2.293163554,0.339178709,60
brain,female,324,0.00%,female,RASGEF1B,2.320206293,0.349375279,101
brain,female,324,0.00%,female,RP11-701H24.9,2.240657179,0.319380977,79
brain,female,324,0.00%,female,LINGO3,1.845826745,0.170508635,1
brain,female,324,0.00%,female,PDE4DIP,1.923269908,0.199708879,15
brain,female,324,0.00%,female,AC159540.1,2.232860565,0.316441234,22
brain,female,324,0.00%,female,RP11-289H16.1,1.676160097,0.106535169,1
brain,female,324,0.00%,female,RP11-219A15.1,1.917728,0.197619281,9
brain,female,324,0.00%,female,LINC01609,2.438884497,0.394123354,1
brain,female,324,0.00%,female,PHYHIP,2.197001197,0.302920321,44
brain,female,324,0.00%,female,RP11-745L13.2,2.053496467,0.248811307,9
brain,male,158759,0.12%,male,SLC26A3,2.371351175,0.368659654,10751
brain,male,158759,0.20%,male,RASGEF1B,2.611658072,0.4592683,18605
brain,male,158759,0.02%,male,RP11-701H24.9,2.061104892,0.251680093,1901
brain,male,158759,0.01%,male,LINGO3,1.814182057,0.158576883,952
brain,male,158759,0.10%,male,PDE4DIP,1.930268251,0.202347631,9114
brain,male,158759,0.02%,male,AC159540.1,1.871012169,0.180004896,1619
brain,male,158759,0.02%,male,RP11-289H16.1,2.109538865,0.26994231,2062
brain,male,158759,0.01%,male,RP11-219A15.1,1.917821375,0.197654489,1042
brain,male,158759,0.03%,male,LINC01609,2.598730024,0.454393729,2637
brain,male,158759,0.04%,male,PHYHIP,1.984152288,0.222664816,3475
brain,male,158759,0.02%,male,RP11-745L13.2,1.894600712,0.188899048,1789
brain,female,48098,0.04%,female,SLC26A3,2.271420978,0.330980587,3851
brain,female,48098,0.08%,female,RASGEF1B,2.405672638,0.381600695,7493
brain,female,48098,0.01%,female,RP11-701H24.9,1.937072851,0.204913332,627
brain,female,48098,0.00%,female,LINGO3,1.879803998,0.18331989,333
brain,female,48098,0.05%,female,PDE4DIP,1.9709664,0.217693026,4874
brain,female,48098,0.01%,female,AC159540.1,1.835316819,0.166545827,910
brain,female,48098,0.01%,female,RP11-289H16.1,1.805965681,0.155478866,1321
brain,female,48098,0.01%,female,RP11-219A15.1,1.897183945,0.189873066,706
brain,female,48098,0.00%,female,LINC01609,1.827672752,0.163663601,166
brain,female,48098,0.01%,female,PHYHIP,1.916891758,0.197303973,1162
brain,female,48098,0.01%,female,RP11-745L13.2,1.79817857,0.152542706,657
brain,male,159511,0.12%,male,SLC26A3,2.370756258,0.368435338,10822
brain,male,159511,0.21%,male,RASGEF1B,2.609850496,0.458586746,18714
brain,male,159511,0.02%,male,RP11-701H24.9,2.083647876,0.260180012,2046
brain,male,159511,0.01%,male,LINGO3,1.814858874,0.158832079,954
brain,male,159511,0.10%,male,PDE4DIP,1.92990701,0.202211424,9129
brain,male,159511,0.02%,male,AC159540.1,1.872482309,0.180559218,1645
brain,male,159511,0.02%,male,RP11-289H16.1,2.109265415,0.269839204,2063
brain,male,159511,0.01%,male,RP11-219A15.1,1.918257938,0.197819096,1046
brain,male,159511,0.03%,male,LINC01609,2.598730024,0.454393729,2637
brain,male,159511,0.04%,male,PHYHIP,1.991996254,0.225622414,3554
brain,male,159511,0.02%,male,RP11-745L13.2,1.894858268,0.18899616,1794
brain,female,48407,0.04%,female,SLC26A3,2.271754546,0.33110636,3911
brain,female,48407,0.08%,female,RASGEF1B,2.404500856,0.38115887,7593
brain,female,48407,0.01%,female,RP11-701H24.9,1.971043227,0.217721994,706
brain,female,48407,0.00%,female,LINGO3,1.876932047,0.182237009,333
brain,female,48407,0.05%,female,PDE4DIP,1.970749076,0.217611083,4888
brain,female,48407,0.01%,female,AC159540.1,1.844700891,0.170084127,932
brain,female,48407,0.01%,female,RP11-289H16.1,1.805867575,0.155441875,1322
brain,female,48407,0.01%,female,RP11-219A15.1,1.897442499,0.189970554,715
brain,female,48407,0.00%,female,LINC01609,1.831332635,0.165043574,167
brain,female,48407,0.01%,female,PHYHIP,1.924572926,0.200200187,1203
brain,female,48407,0.01%,female,RP11-745L13.2,1.801628777,0.15384362,666
brain,female,22,0.00%,female,SLC26A3,2.351434708,0.361150073,4
brain,female,22,0.00%,female,RASGEF1B,2.156919479,0.287807354,2
brain,female,22,0.00%,female,RP11-701H24.9,2.381328344,0.372421585,4
brain,female,22,,female,LINGO3,,,
brain,female,22,,female,PDE4DIP,,,
brain,female,22,,female,AC159540.1,,,
brain,female,22,,female,RP11-289H16.1,,,
brain,female,22,,female,RP11-219A15.1,,,
brain,female,22,,female,LINC01609,,,
brain,female,22,0.00%,female,PHYHIP,1.984718704,0.222878385,5
brain,female,22,,female,RP11-745L13.2,,,
brain,male,163301,0.12%,male,SLC26A3,2.369096763,0.367809619,10865
brain,male,163301,0.21%,male,RASGEF1B,2.597490857,0.453926496,19107
brain,male,163301,0.02%,male,RP11-701H24.9,2.083022616,0.259944256,2078
brain,male,163301,0.01%,male,LINGO3,1.813951082,0.158489793,958
brain,male,163301,0.10%,male,PDE4DIP,1.928528852,0.201691784,9273
brain,male,163301,0.02%,male,AC159540.1,1.868470106,0.179046402,1688
brain,male,163301,0.02%,male,RP11-289H16.1,2.110246779,0.270209232,2069
brain,male,163301,0.01%,male,RP11-219A15.1,1.918257938,0.197819096,1046
brain,male,163301,0.03%,male,LINC01609,2.597604132,0.453969207,2642
brain,male,163301,0.04%,male,PHYHIP,1.99116361,0.225308462,3611
brain,male,163301,0.02%,male,RP11-745L13.2,1.894806451,0.188976622,1800
brain,female,48619,0.04%,female,SLC26A3,2.269490921,0.330252851,3947
brain,female,48619,0.08%,female,RASGEF1B,2.402950322,0.380574235,7686
brain,female,48619,0.01%,female,RP11-701H24.9,1.970765172,0.217617152,724
brain,female,48619,0.00%,female,LINGO3,1.879702265,0.183281531,334
brain,female,48619,0.05%,female,PDE4DIP,1.970648428,0.217573133,4892
brain,female,48619,0.01%,female,AC159540.1,1.84423776,0.169909502,937
brain,female,48619,0.01%,female,RP11-289H16.1,1.806682997,0.155749333,1331
brain,female,48619,0.01%,female,RP11-219A15.1,1.897442499,0.189970554,715
brain,female,48619,0.00%,female,LINC01609,1.835492738,0.166612157,169
brain,female,48619,0.01%,female,PHYHIP,1.926631162,0.200976253,1226
brain,female,48619,0.01%,female,RP11-745L13.2,1.801628777,0.15384362,666
brain,male,18777,0.01%,male,SLC26A3,1.901135796,0.191363126,766
brain,male,18777,0.02%,male,RASGEF1B,1.877215361,0.182343834,1673
brain,male,18777,0.01%,male,RP11-701H24.9,1.876890993,0.18222153,835
brain,male,18777,0.00%,male,LINGO3,1.731716449,0.127482906,13
brain,male,18777,0.00%,male,PDE4DIP,1.769567519,0.141754799,451
brain,male,18777,0.00%,male,AC159540.1,1.6980081,0.114773043,85
brain,male,18777,0.00%,male,RP11-289H16.1,1.95979745,0.21348173,21
brain,male,18777,0.00%,male,RP11-219A15.1,1.761864895,0.138850494,45
brain,male,18777,0.00%,male,LINC01609,1.800495148,0.153416181,19
brain,male,18777,0.00%,male,PHYHIP,1.80701889,0.155875983,400
brain,male,18777,0.00%,male,RP11-745L13.2,1.781347693,0.146196559,82
brain,female,4989,0.01%,female,SLC26A3,1.946576104,0.20849657,589
brain,female,4989,0.01%,female,RASGEF1B,2.066616726,0.253758351,834
brain,female,4989,0.00%,female,RP11-701H24.9,1.905516461,0.193014873,437
brain,female,4989,0.00%,female,LINGO3,1.763946397,0.139635333,7
brain,female,4989,0.00%,female,PDE4DIP,1.869896473,0.179584219,241
brain,female,4989,0.00%,female,AC159540.1,1.800674721,0.153483889,54
brain,female,4989,0.00%,female,RP11-289H16.1,1.879189555,0.183088211,30
brain,female,4989,0.00%,female,RP11-219A15.1,1.83479045,0.166347357,26
brain,female,4989,0.00%,female,LINC01609,1.854867835,0.173917613,19
brain,female,4989,0.00%,female,PHYHIP,1.826854761,0.163355175,345
brain,female,4989,0.00%,female,RP11-745L13.2,1.85113242,0.17250916,35
brain,male,193804,0.17%,male,SLC26A3,2.337513864,0.355901165,15158
brain,male,193804,0.35%,male,RASGEF1B,2.596310201,0.453481325,32163
brain,male,193804,0.06%,male,RP11-701H24.9,1.85849562,0.175285483,5768
brain,male,193804,0.03%,male,LINGO3,1.712110172,0.120090283,3065
brain,male,193804,0.34%,male,PDE4DIP,1.962255571,0.214408574,31355
brain,male,193804,0.02%,male,AC159540.1,1.914837082,0.196529249,2131
brain,male,193804,0.02%,male,RP11-289H16.1,1.95837721,0.212946223,1762
brain,male,193804,0.02%,male,RP11-219A15.1,1.908531435,0.194151681,1459
brain,male,193804,0.04%,male,LINC01609,2.6463055,0.472332246,3838
brain,male,193804,0.04%,male,PHYHIP,1.883977193,0.184893409,3753
brain,male,193804,0.04%,male,RP11-745L13.2,1.950972157,0.210154119,3325
brain,female,62749,0.09%,female,SLC26A3,2.230070919,0.315389387,7752
brain,female,62749,0.17%,female,RASGEF1B,2.630321363,0.466305366,15690
brain,female,62749,0.03%,female,RP11-701H24.9,1.833936189,0.166025255,2432
brain,female,62749,0.01%,female,LINGO3,1.808548871,0.156452868,884
brain,female,62749,0.21%,female,PDE4DIP,2.096553289,0.265046048,18813
brain,female,62749,0.01%,female,AC159540.1,1.830811313,0.164847008,1275
brain,female,62749,0.01%,female,RP11-289H16.1,1.892720724,0.188190191,999
brain,female,62749,0.01%,female,RP11-219A15.1,1.832985119,0.16566665,667
brain,female,62749,0.00%,female,LINC01609,1.959964479,0.213544709,293
brain,female,62749,0.01%,female,PHYHIP,1.884508436,0.185093716,1291
brain,female,62749,0.02%,female,RP11-745L13.2,1.891967069,0.187906022,1905
brain,male,8380,0.01%,male,SLC26A3,2.000170005,0.228704358,601
brain,male,8380,0.01%,male,RASGEF1B,2.019977552,0.23617287,884
brain,male,8380,0.01%,male,RP11-701H24.9,1.866729696,0.178390173,761
brain,male,8380,0.00%,male,LINGO3,1.777710438,0.144825118,3
brain,male,8380,0.00%,male,PDE4DIP,1.907848373,0.19389413,253
brain,male,8380,0.00%,male,AC159540.1,1.780410391,0.145843145,61
brain,male,8380,0.00%,male,RP11-289H16.1,1.979136467,0.220773581,20
brain,male,8380,0.00%,male,RP11-219A15.1,1.77945102,0.145481411,49
brain,male,8380,0.00%,male,LINC01609,2.019015206,0.235810014,9
brain,male,8380,0.00%,male,PHYHIP,1.859583792,0.175695783,259
brain,male,8380,0.00%,male,RP11-745L13.2,1.787799105,0.148629088,47
brain,female,2038,0.01%,female,SLC26A3,1.950430962,0.20995006,496
brain,female,2038,0.01%,female,RASGEF1B,2.099849716,0.266288979,739
brain,female,2038,0.00%,female,RP11-701H24.9,1.883332744,0.184650417,380
brain,female,2038,,female,LINGO3,,,
brain,female,2038,0.00%,female,PDE4DIP,1.98751021,0.223930933,162
brain,female,2038,0.00%,female,AC159540.1,1.966573615,0.216036709,38
brain,female,2038,0.00%,female,RP11-289H16.1,1.896584741,0.189647133,29
brain,female,2038,0.00%,female,RP11-219A15.1,1.849537441,0.171907767,28
brain,female,2038,0.00%,female,LINC01609,1.967197691,0.216272019,14
brain,female,2038,0.00%,female,PHYHIP,1.832565632,0.165508481,235
brain,female,2038,0.00%,female,RP11-745L13.2,1.867444356,0.178659639,33
brain,male,6843387,3.66%,male,SLC26A3,2.211217607,0.308280673,333020
brain,male,6843387,8.36%,male,RASGEF1B,2.465844739,0.404288818,760732
brain,male,6843387,1.85%,male,RP11-701H24.9,1.951853932,0.210486596,168264
brain,male,6843387,0.40%,male,LINGO3,1.931738718,0.202902077,36198
brain,male,6843387,6.78%,male,PDE4DIP,1.986519063,0.223557218,616426
brain,male,6843387,1.31%,male,AC159540.1,1.915707997,0.196857631,119469
brain,male,6843387,0.80%,male,RP11-289H16.1,1.916180378,0.197035744,72445
brain,male,6843387,0.53%,male,RP11-219A15.1,1.851172372,0.172524224,47961
brain,male,6843387,0.66%,male,LINC01609,2.349938983,0.360586104,59973
brain,male,6843387,2.46%,male,PHYHIP,1.826220557,0.163116046,223950
brain,male,6843387,0.57%,male,RP11-745L13.2,1.854402876,0.173742298,52004
brain,female,2253782,1.89%,female,SLC26A3,2.158183186,0.288283839,172109
brain,female,2253782,3.68%,female,RASGEF1B,2.511773979,0.421606616,335183
brain,female,2253782,1.00%,female,RP11-701H24.9,1.973412856,0.218615471,91300
brain,female,2253782,0.20%,female,LINGO3,1.898131472,0.190230335,17768
brain,female,2253782,3.78%,female,PDE4DIP,2.014393365,0.234067331,344169
