Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,male,466767,0.03%,male,RASGEF1B,1.728068896,0.126107582,2926
brain,male,466767,0.16%,male,RP11-701H24.9,2.151256766,0.285672206,14964
brain,male,466767,0.01%,male,LINGO3,1.624525602,0.087066183,466
brain,male,466767,0.32%,male,PDE4DIP,1.703365573,0.116793098,29422
brain,male,466767,0.07%,male,AC159540.1,1.646300967,0.095276668,6464
brain,male,466767,0.00%,male,RP11-289H16.1,1.502386017,0.041012979,25
brain,male,466767,,male,RP11-219A15.1,,,
brain,male,466767,0.00%,male,LINC01609,1.574226493,0.068100709,67
brain,male,466767,0.03%,male,PHYHIP,1.616687534,0.084110809,3176
brain,male,466767,0.00%,male,RP11-745L13.2,1.559956291,0.062720074,132
brain,female,289345,0.07%,female,SLC26A3,1.705318781,0.117529563,6026
brain,female,289345,0.04%,female,RASGEF1B,1.788471438,0.148882594,3354
brain,female,289345,0.05%,female,RP11-701H24.9,2.208136606,0.307118969,4830
brain,female,289345,0.00%,female,LINGO3,1.644517084,0.094604048,405
brain,female,289345,0.27%,female,PDE4DIP,1.677184046,0.106921253,24293
brain,female,289345,0.10%,female,AC159540.1,1.657254339,0.09940668,8930
brain,female,289345,0.00%,female,RP11-289H16.1,1.515269655,0.045870805,33
brain,female,289345,,female,RP11-219A15.1,,,
brain,female,289345,0.00%,female,LINC01609,1.575825915,0.068703777,81
brain,female,289345,0.03%,female,PHYHIP,1.640288978,0.093009825,2790
brain,female,289345,0.00%,female,RP11-745L13.2,1.567259237,0.065473678,223
brain,male,14048,0.00%,male,SLC26A3,1.647028419,0.095550957,382
brain,male,14048,0.00%,male,RASGEF1B,1.548080699,0.058242336,15
brain,male,14048,0.01%,male,RP11-701H24.9,2.156642509,0.287702921,622
brain,male,14048,0.00%,male,LINGO3,1.632898649,0.090223272,6
brain,male,14048,0.02%,male,PDE4DIP,1.705372238,0.117549719,1622
brain,male,14048,0.00%,male,AC159540.1,1.614737877,0.083375683,65
brain,male,14048,,male,RP11-289H16.1,,,
brain,male,14048,,male,RP11-219A15.1,,,
brain,male,14048,,male,LINC01609,,,
brain,male,14048,0.00%,male,PHYHIP,1.556955031,0.061588437,81
brain,male,14048,0.00%,male,RP11-745L13.2,1.530304313,0.051539681,1
brain,female,9853,0.00%,female,SLC26A3,1.716585047,0.121777553,85
brain,female,9853,0.00%,female,RASGEF1B,1.624956449,0.087228635,24
brain,female,9853,0.00%,female,RP11-701H24.9,2.269499126,0.330255945,304
brain,female,9853,0.00%,female,LINGO3,1.624953588,0.087227556,6
brain,female,9853,0.02%,female,PDE4DIP,1.662108281,0.101236877,1562
brain,female,9853,0.00%,female,AC159540.1,1.598805745,0.077368411,57
brain,female,9853,,female,RP11-289H16.1,,,
brain,female,9853,,female,RP11-219A15.1,,,
brain,female,9853,0.00%,female,LINC01609,1.566354036,0.065132369,2
brain,female,9853,0.00%,female,PHYHIP,1.587253571,0.073012619,70
brain,female,9853,0.00%,female,RP11-745L13.2,1.450570679,0.021475806,5
brain,male,13716,0.00%,male,SLC26A3,1.646647456,0.095407313,381
brain,male,13716,0.00%,male,RASGEF1B,1.516353289,0.046279394,9
brain,male,13716,0.01%,male,RP11-701H24.9,2.156642509,0.287702921,622
brain,male,13716,0.00%,male,LINGO3,1.652863312,0.097751026,5
brain,male,13716,0.01%,male,PDE4DIP,1.585334242,0.072288929,1325
brain,male,13716,0.00%,male,AC159540.1,1.614737877,0.083375683,65
brain,male,13716,,male,RP11-289H16.1,,,
brain,male,13716,,male,RP11-219A15.1,,,
brain,male,13716,,male,LINC01609,,,
brain,male,13716,0.00%,male,PHYHIP,1.536014029,0.053692551,65
brain,male,13716,0.00%,male,RP11-745L13.2,1.530304313,0.051539681,1
brain,female,9695,0.00%,female,SLC26A3,1.716585047,0.121777553,85
brain,female,9695,0.00%,female,RASGEF1B,1.624956449,0.087228635,24
brain,female,9695,0.00%,female,RP11-701H24.9,2.269499126,0.330255945,304
brain,female,9695,0.00%,female,LINGO3,1.624953588,0.087227556,6
brain,female,9695,0.02%,female,PDE4DIP,1.593198045,0.075254006,1411
brain,female,9695,0.00%,female,AC159540.1,1.598805745,0.077368411,57
brain,female,9695,,female,RP11-289H16.1,,,
brain,female,9695,,female,RP11-219A15.1,,,
brain,female,9695,0.00%,female,LINC01609,1.566354036,0.065132369,2
brain,female,9695,0.00%,female,PHYHIP,1.591171265,0.074489801,68
brain,female,9695,0.00%,female,RP11-745L13.2,1.450570679,0.021475806,5
brain,male,466027,0.20%,male,SLC26A3,1.678660698,0.10747803,18097
brain,male,466027,0.03%,male,RASGEF1B,1.718952673,0.122670275,2826
brain,male,466027,0.16%,male,RP11-701H24.9,2.151256766,0.285672206,14964
brain,male,466027,0.01%,male,LINGO3,1.61823256,0.084693367,458
brain,male,466027,0.32%,male,PDE4DIP,1.69267401,0.112761803,28831
brain,male,466027,0.07%,male,AC159540.1,1.646300967,0.095276668,6464
brain,male,466027,0.00%,male,RP11-289H16.1,1.502386017,0.041012979,25
brain,male,466027,,male,RP11-219A15.1,,,
brain,male,466027,0.00%,male,LINC01609,1.574226493,0.068100709,67
brain,male,466027,0.03%,male,PHYHIP,1.616246047,0.083944344,3157
brain,male,466027,0.00%,male,RP11-745L13.2,1.559956291,0.062720074,132
brain,female,288442,0.07%,female,SLC26A3,1.70529694,0.117521328,6025
brain,female,288442,0.04%,female,RASGEF1B,1.782323883,0.146564635,3201
brain,female,288442,0.05%,female,RP11-701H24.9,2.208136606,0.307118969,4830
brain,female,288442,0.00%,female,LINGO3,1.63821818,0.092229022,390
brain,female,288442,0.26%,female,PDE4DIP,1.659347729,0.100196,23577
brain,female,288442,0.10%,female,AC159540.1,1.657254339,0.09940668,8930
brain,female,288442,0.00%,female,RP11-289H16.1,1.515269655,0.045870805,33
brain,female,288442,,female,RP11-219A15.1,,,
brain,female,288442,0.00%,female,LINC01609,1.575825915,0.068703777,81
brain,female,288442,0.03%,female,PHYHIP,1.640612367,0.09313176,2783
brain,female,288442,0.00%,female,RP11-745L13.2,1.567259237,0.065473678,223
brain,male,124051,0.04%,male,SLC26A3,1.709807303,0.119221978,3763
brain,male,124051,0.00%,male,RASGEF1B,1.548350135,0.058343928,86
brain,male,124051,0.04%,male,RP11-701H24.9,2.128830993,0.277216481,3841
brain,male,124051,0.00%,male,LINGO3,1.602595203,0.078797241,53
brain,male,124051,0.09%,male,PDE4DIP,1.666087333,0.102737194,7926
brain,male,124051,0.01%,male,AC159540.1,1.613391747,0.08286812,770
brain,male,124051,0.00%,male,RP11-289H16.1,1.557229837,0.061692054,3
brain,male,124051,,male,RP11-219A15.1,,,
brain,male,124051,0.00%,male,LINC01609,1.523283005,0.04889227,7
brain,male,124051,0.01%,male,PHYHIP,1.600168211,0.077882134,545
brain,male,124051,0.00%,male,RP11-745L13.2,1.604995982,0.079702464,15
brain,female,86997,0.01%,female,SLC26A3,1.732362048,0.127726332,1212
brain,female,86997,0.00%,female,RASGEF1B,1.642738982,0.093933608,155
brain,female,86997,0.02%,female,RP11-701H24.9,2.190328618,0.300404399,1645
brain,female,86997,0.00%,female,LINGO3,1.639404852,0.092676461,55
brain,female,86997,0.08%,female,PDE4DIP,1.631758268,0.089793287,7544
brain,female,86997,0.01%,female,AC159540.1,1.608018149,0.080841984,1240
brain,female,86997,0.00%,female,RP11-289H16.1,1.537875891,0.054394574,4
brain,female,86997,,female,RP11-219A15.1,,,
brain,female,86997,0.00%,female,LINC01609,1.607915878,0.080803422,6
brain,female,86997,0.01%,female,PHYHIP,1.600057702,0.077840466,553
brain,female,86997,0.00%,female,RP11-745L13.2,1.549594641,0.058813174,32
brain,male,117803,0.06%,male,SLC26A3,1.653882424,0.098135286,5066
brain,male,117803,0.01%,male,RASGEF1B,1.733608048,0.128196141,1308
brain,male,117803,0.04%,male,RP11-701H24.9,2.259597244,0.326522402,4054
brain,male,117803,0.00%,male,LINGO3,1.613131688,0.082770063,116
brain,male,117803,0.08%,male,PDE4DIP,1.707968166,0.118528524,7291
brain,male,117803,0.01%,male,AC159540.1,1.626631063,0.087860055,1341
brain,male,117803,0.00%,male,RP11-289H16.1,1.453327073,0.022515115,9
brain,male,117803,,male,RP11-219A15.1,,,
brain,male,117803,0.00%,male,LINC01609,1.546214455,0.057538662,19
brain,male,117803,0.01%,male,PHYHIP,1.610735176,0.081866449,968
brain,male,117803,0.00%,male,RP11-745L13.2,1.563824844,0.064178727,40
brain,female,71949,0.02%,female,SLC26A3,1.685155878,0.109927063,1837
brain,female,71949,0.02%,female,RASGEF1B,1.793765737,0.15087883,1418
brain,female,71949,0.02%,female,RP11-701H24.9,2.265396184,0.328708915,1386
brain,female,71949,0.00%,female,LINGO3,1.613959573,0.08308222,110
brain,female,71949,0.06%,female,PDE4DIP,1.66160363,0.101046596,5536
brain,female,71949,0.02%,female,AC159540.1,1.622519902,0.086309926,1527
brain,female,71949,0.00%,female,RP11-289H16.1,1.532736142,0.052456612,12
brain,female,71949,,female,RP11-219A15.1,,,
brain,female,71949,0.00%,female,LINC01609,1.544915411,0.057048852,18
brain,female,71949,0.01%,female,PHYHIP,1.651534115,0.097249847,830
brain,female,71949,0.00%,female,RP11-745L13.2,1.567263073,0.065475125,72
brain,male,68706,0.03%,male,SLC26A3,1.690024459,0.11176278,2287
brain,male,68706,0.00%,male,RASGEF1B,1.61145999,0.082139743,148
brain,male,68706,0.02%,male,RP11-701H24.9,2.087571346,0.261659372,2086
brain,male,68706,0.00%,male,LINGO3,1.599364742,0.077579183,62
brain,male,68706,0.03%,male,PDE4DIP,1.725511962,0.12514348,2429
brain,male,68706,0.01%,male,AC159540.1,1.619148554,0.085038746,1170
brain,male,68706,0.00%,male,RP11-289H16.1,1.545923506,0.057428958,7
brain,male,68706,,male,RP11-219A15.1,,,
brain,male,68706,0.00%,male,LINC01609,1.605081717,0.079734791,24
brain,male,68706,0.01%,male,PHYHIP,1.633031004,0.090273177,569
brain,male,68706,0.00%,male,RP11-745L13.2,1.563331272,0.063992624,23
brain,female,47329,0.01%,female,SLC26A3,1.705575075,0.1176262,690
brain,female,47329,0.00%,female,RASGEF1B,1.671910261,0.104932752,193
brain,female,47329,0.01%,female,RP11-701H24.9,2.160762719,0.289256462,786
brain,female,47329,0.00%,female,LINGO3,1.629129251,0.088802006,48
brain,female,47329,0.03%,female,PDE4DIP,1.680706714,0.108249488,2427
brain,female,47329,0.02%,female,AC159540.1,1.633008142,0.090264557,1777
brain,female,47329,0.00%,female,RP11-289H16.1,1.475795746,0.030987015,7
brain,female,47329,,female,RP11-219A15.1,,,
brain,female,47329,0.00%,female,LINC01609,1.628969019,0.08874159,22
brain,female,47329,0.01%,female,PHYHIP,1.612768445,0.082633101,555
brain,female,47329,0.00%,female,RP11-745L13.2,1.547046379,0.057852342,54
brain,male,24584,0.01%,male,SLC26A3,1.66227588,0.101300071,978
brain,male,24584,0.00%,male,RASGEF1B,1.683157564,0.109173591,396
brain,male,24584,,male,RP11-701H24.9,,,
brain,male,24584,0.00%,male,LINGO3,1.616209367,0.083930514,34
brain,male,24584,0.01%,male,PDE4DIP,1.710983118,0.119665323,1057
brain,male,24584,0.00%,male,AC159540.1,1.624150609,0.08692479,335
brain,male,24584,0.00%,male,RP11-289H16.1,1.462907553,0.026127472,2
brain,male,24584,,male,RP11-219A15.1,,,
brain,male,24584,0.00%,male,LINC01609,1.573677063,0.067893544,8
brain,male,24584,0.00%,male,PHYHIP,1.616707211,0.084118228,105
brain,male,24584,0.00%,male,RP11-745L13.2,1.560808355,0.063041348,22
brain,female,13381,0.00%,female,SLC26A3,1.673071943,0.105370768,280
brain,female,13381,0.00%,female,RASGEF1B,1.685841597,0.110185616,362
brain,female,13381,,female,RP11-701H24.9,,,
brain,female,13381,0.00%,female,LINGO3,1.645728429,0.095060791,12
brain,female,13381,0.01%,female,PDE4DIP,1.68036962,0.108122386,762
brain,female,13381,0.00%,female,AC159540.1,1.616342653,0.08398077,405
brain,female,13381,0.00%,female,RP11-289H16.1,1.544910749,0.057047094,6
brain,female,13381,,female,RP11-219A15.1,,,
brain,female,13381,0.00%,female,LINC01609,1.484412267,0.034235907,13
brain,female,13381,0.00%,female,PHYHIP,1.615076975,0.083503541,130
brain,female,13381,0.00%,female,RP11-745L13.2,1.663410645,0.101727938,25
brain,male,121425,0.06%,male,SLC26A3,1.680231307,0.108070234,5716
brain,male,121425,0.00%,male,RASGEF1B,1.625461059,0.0874189,426
brain,male,121425,0.05%,male,RP11-701H24.9,2.107060882,0.269007977,4983
brain,male,121425,0.00%,male,LINGO3,1.628564192,0.088588949,187
brain,male,121425,0.10%,male,PDE4DIP,1.682604043,0.108964884,9510
brain,male,121425,0.03%,male,AC159540.1,1.680447226,0.108151647,2754
brain,male,121425,0.00%,male,RP11-289H16.1,1.515184402,0.04583866,4
brain,male,121425,,male,RP11-219A15.1,,,
brain,male,121425,0.00%,male,LINC01609,1.591193835,0.074498311,9
brain,male,121425,0.01%,male,PHYHIP,1.621389942,0.08588387,924
brain,male,121425,0.00%,male,RP11-745L13.2,1.531638484,0.052042735,31
brain,female,63104,0.02%,female,SLC26A3,1.711706562,0.119938101,1939
brain,female,63104,0.01%,female,RASGEF1B,1.746423797,0.133028368,481
brain,female,63104,0.01%,female,RP11-701H24.9,2.195469878,0.302342931,1013
brain,female,63104,0.00%,female,LINGO3,1.658460724,0.099861551,161
brain,female,63104,0.07%,female,PDE4DIP,1.674934094,0.1060729,6822
brain,female,63104,0.04%,female,AC159540.1,1.703560274,0.116866511,3832
brain,female,63104,0.00%,female,RP11-289H16.1,1.48348554,0.033886481,3
brain,female,63104,,female,RP11-219A15.1,,,
brain,female,63104,0.00%,female,LINC01609,1.597036964,0.076701485,19
brain,female,63104,0.01%,female,PHYHIP,1.691310286,0.112247606,678
brain,female,63104,0.00%,female,RP11-745L13.2,1.552893321,0.060056954,36
brain,male,62,0.00%,male,SLC26A3,1.885510087,0.185471392,1
brain,male,62,0.00%,male,RASGEF1B,1.772701422,0.142936449,3
brain,male,62,,male,RP11-701H24.9,,,
brain,male,62,,male,LINGO3,,,
brain,male,62,0.00%,male,PDE4DIP,2.10778996,0.269282878,57
brain,male,62,,male,AC159540.1,,,
brain,male,62,,male,RP11-289H16.1,,,
brain,male,62,,male,RP11-219A15.1,,,
brain,male,62,,male,LINC01609,,,
brain,male,62,0.00%,male,PHYHIP,1.606912494,0.080425092,2
brain,male,62,,male,RP11-745L13.2,,,
brain,female,37,,female,SLC26A3,,,
brain,female,37,0.00%,female,RASGEF1B,2.03633666,0.242341135,1
brain,female,37,,female,RP11-701H24.9,,,
brain,female,37,,female,LINGO3,,,
brain,female,37,0.00%,female,PDE4DIP,2.037204858,0.242668493,33
brain,female,37,,female,AC159540.1,,,
brain,female,37,,female,RP11-289H16.1,,,
brain,female,37,,female,RP11-219A15.1,,,
brain,female,37,,female,LINC01609,,,
brain,female,37,0.00%,female,PHYHIP,1.484811783,0.034386546,1
brain,female,37,,female,RP11-745L13.2,,,
brain,male,9458,0.00%,male,SLC26A3,1.641656856,0.093525588,287
brain,male,9458,0.01%,male,RASGEF1B,1.860541009,0.176056705,462
brain,male,9458,,male,RP11-701H24.9,,,
brain,male,9458,0.00%,male,LINGO3,1.739402771,0.130381064,6
brain,male,9458,0.01%,male,PDE4DIP,1.847792937,0.171249995,618
brain,male,9458,0.00%,male,AC159540.1,1.612975425,0.082711144,94
brain,male,9458,,male,RP11-289H16.1,,,
brain,male,9458,,male,RP11-219A15.1,,,
brain,male,9458,,male,LINC01609,,,
brain,male,9458,0.00%,male,PHYHIP,1.610702017,0.081853946,46
brain,male,9458,0.00%,male,RP11-745L13.2,1.511096597,0.044297337,1
brain,female,5682,0.00%,female,SLC26A3,1.714236359,0.120891971,67
brain,female,5682,0.01%,female,RASGEF1B,1.915626732,0.19682699,592
brain,female,5682,,female,RP11-701H24.9,,,
brain,female,5682,0.00%,female,LINGO3,1.560783982,0.063032158,4
brain,female,5682,0.01%,female,PDE4DIP,1.703500504,0.116843975,486
brain,female,5682,0.00%,female,AC159540.1,1.632443626,0.090051704,149
brain,female,5682,0.00%,female,RP11-289H16.1,1.409069538,0.00582764,1
brain,female,5682,,female,RP11-219A15.1,,,
brain,female,5682,0.00%,female,LINC01609,1.569182873,0.066198992,3
brain,female,5682,0.00%,female,PHYHIP,1.580110395,0.070319257,37
brain,female,5682,0.00%,female,RP11-745L13.2,1.509727955,0.043781286,4
brain,male,2455,0.00%,male,SLC26A3,2.352778912,0.36165691,1
brain,male,2455,0.00%,male,RASGEF1B,1.530201213,0.051500807,60
brain,male,2455,,male,RP11-701H24.9,,,
brain,male,2455,,male,LINGO3,,,
brain,male,2455,0.03%,male,PDE4DIP,2.021158045,0.23661798,2415
brain,male,2455,0.02%,male,AC159540.1,1.823385457,0.16204706,2096
brain,male,2455,0.02%,male,RP11-289H16.1,1.752803025,0.135433681,1781
brain,male,2455,,male,RP11-219A15.1,,,
brain,male,2455,,male,LINC01609,,,
brain,male,2455,0.00%,male,PHYHIP,1.58755374,0.073125799,2
brain,male,2455,0.00%,male,RP11-745L13.2,1.523245005,0.048877941,351
brain,female,2257,0.00%,female,SLC26A3,1.568039258,0.065767788,3
brain,female,2257,0.00%,female,RASGEF1B,1.520924452,0.048002968,82
brain,female,2257,,female,RP11-701H24.9,,,
brain,female,2257,,female,LINGO3,,,
brain,female,2257,0.02%,female,PDE4DIP,1.927578606,0.20133349,2072
brain,female,2257,0.01%,female,AC159540.1,1.69537008,0.113778367,1272
brain,female,2257,0.02%,female,RP11-289H16.1,1.713149848,0.120482298,1473
brain,female,2257,,female,RP11-219A15.1,,,
brain,female,2257,,female,LINC01609,,,
brain,female,2257,0.00%,female,PHYHIP,1.768211047,0.141243335,6
brain,female,2257,0.00%,female,RP11-745L13.2,1.637410949,0.091924653,261
brain,male,1132,,male,SLC26A3,,,
brain,male,1132,0.00%,male,RASGEF1B,1.498348685,0.039490688,17
brain,male,1132,,male,RP11-701H24.9,,,
brain,male,1132,,male,LINGO3,,,
brain,male,1132,0.01%,male,PDE4DIP,2.031634243,0.240568071,1117
brain,male,1132,0.01%,male,AC159540.1,1.837887724,0.167515196,1052
brain,male,1132,0.01%,male,RP11-289H16.1,1.749260713,0.134098039,889
brain,male,1132,,male,RP11-219A15.1,,,
brain,male,1132,,male,LINC01609,,,
brain,male,1132,0.00%,male,PHYHIP,1.618539691,0.084809172,1
brain,male,1132,0.00%,male,RP11-745L13.2,1.496066956,0.038630353,168
brain,female,966,,female,SLC26A3,,,
brain,female,966,0.00%,female,RASGEF1B,1.552039768,0.059735119,23
brain,female,966,,female,RP11-701H24.9,,,
brain,female,966,,female,LINGO3,,,
brain,female,966,0.01%,female,PDE4DIP,1.967549055,0.216404503,902
brain,female,966,0.01%,female,AC159540.1,1.722073595,0.123847031,714
brain,female,966,0.01%,female,RP11-289H16.1,1.702871177,0.116606685,643
brain,female,966,,female,RP11-219A15.1,,,
brain,female,966,,female,LINC01609,,,
brain,female,966,0.00%,female,PHYHIP,2.045040846,0.245623082,1
brain,female,966,0.00%,female,RP11-745L13.2,1.637958765,0.092131209,128
brain,male,1209,0.00%,male,SLC26A3,2.352778912,0.36165691,1
brain,male,1209,0.00%,male,RASGEF1B,1.542794161,0.056249027,43
brain,male,1209,,male,RP11-701H24.9,,,
brain,male,1209,,male,LINGO3,,,
brain,male,1209,0.01%,male,PDE4DIP,1.99614933,0.227188347,1186
brain,male,1209,0.01%,male,AC159540.1,1.818161377,0.160077301,1000
brain,male,1209,0.01%,male,RP11-289H16.1,1.761257783,0.13862158,867
brain,male,1209,,male,RP11-219A15.1,,,
brain,male,1209,,male,LINC01609,,,
brain,male,1209,0.00%,male,PHYHIP,1.556567669,0.061442381,1
brain,male,1209,0.00%,male,RP11-745L13.2,1.526163452,0.049978353,125
brain,female,1191,0.00%,female,SLC26A3,1.568039258,0.065767788,3
brain,female,1191,0.00%,female,RASGEF1B,1.505455954,0.042170511,57
brain,female,1191,,female,RP11-701H24.9,,,
brain,female,1191,,female,LINGO3,,,
brain,female,1191,0.01%,female,PDE4DIP,1.884926196,0.185251234,1078
brain,female,1191,0.01%,female,AC159540.1,1.653116088,0.097846336,526
brain,female,1191,0.01%,female,RP11-289H16.1,1.722575904,0.124036428,787
brain,female,1191,,female,RP11-219A15.1,,,
brain,female,1191,,female,LINC01609,,,
brain,female,1191,0.00%,female,PHYHIP,1.712845039,0.120367368,5
brain,female,1191,0.00%,female,RP11-745L13.2,1.616360234,0.083987399,102
brain,male,1474481,0.71%,male,SLC26A3,2.205702511,0.306201185,64676
brain,male,1474481,0.96%,male,RASGEF1B,2.764390292,0.516856574,87546
brain,male,1474481,0.63%,male,RP11-701H24.9,1.906938367,0.193551008,57700
brain,male,1474481,0.02%,male,LINGO3,1.892949368,0.188276402,1698
brain,male,1474481,1.05%,male,PDE4DIP,1.908533031,0.194152283,95754
brain,male,1474481,0.42%,male,AC159540.1,1.921619154,0.199086456,38170
brain,male,1474481,0.34%,male,RP11-289H16.1,1.963093703,0.214724595,30834
brain,male,1474481,0.16%,male,RP11-219A15.1,1.839457083,0.168106929,14310
brain,male,1474481,0.26%,male,LINC01609,2.253784428,0.324330658,23568
brain,male,1474481,0.84%,male,PHYHIP,1.831094183,0.164953665,76552
brain,male,1474481,0.17%,male,RP11-745L13.2,1.857699258,0.174985212,15871
brain,female,803581,0.24%,female,SLC26A3,2.010294322,0.232521771,22073
brain,female,803581,0.38%,female,RASGEF1B,2.34889048,0.360190762,34887
brain,female,803581,0.26%,female,RP11-701H24.9,2.010275254,0.232514581,23765
brain,female,803581,0.01%,female,LINGO3,1.768301563,0.141277465,924
brain,female,803581,0.60%,female,PDE4DIP,1.83816745,0.167620668,54969
brain,female,803581,0.20%,female,AC159540.1,1.839429846,0.168096659,18441
brain,female,803581,0.14%,female,RP11-289H16.1,1.917386971,0.197490695,12586
brain,female,803581,0.06%,female,RP11-219A15.1,1.845627476,0.170433499,5822
brain,female,803581,0.03%,female,LINC01609,1.872756463,0.180662589,2406
brain,female,803581,0.46%,female,PHYHIP,1.74998399,0.134370753,41967
brain,female,803581,0.08%,female,RP11-745L13.2,1.865585625,0.177958797,6870
brain,male,39367,0.01%,male,SLC26A3,1.644080538,0.094439447,978
brain,male,39367,0.00%,male,RASGEF1B,1.599741373,0.077721193,83
brain,male,39367,0.01%,male,RP11-701H24.9,1.907132618,0.193624251,1276
brain,male,39367,0.00%,male,LINGO3,1.61843768,0.084770708,22
brain,male,39367,0.01%,male,PDE4DIP,1.541857758,0.055895952,721
brain,male,39367,0.00%,male,AC159540.1,1.593362982,0.075316196,132
brain,male,39367,,male,RP11-289H16.1,,,
brain,male,39367,,male,RP11-219A15.1,,,
brain,male,39367,,male,LINC01609,,,
brain,male,39367,0.01%,male,PHYHIP,1.604765746,0.079615653,583
brain,male,39367,0.00%,male,RP11-745L13.2,1.710298538,0.1194072,2
brain,female,26981,0.00%,female,SLC26A3,1.671295949,0.104701123,195
brain,female,26981,0.00%,female,RASGEF1B,1.584503467,0.071975682,52
brain,female,26981,0.01%,female,RP11-701H24.9,2.016823114,0.234983477,535
brain,female,26981,0.00%,female,LINGO3,1.605897649,0.080042441,15
brain,female,26981,0.01%,female,PDE4DIP,1.531225656,0.051887077,524
brain,female,26981,0.00%,female,AC159540.1,1.569111704,0.066172158,279
brain,female,26981,,female,RP11-289H16.1,,,
brain,female,26981,,female,RP11-219A15.1,,,
brain,female,26981,,female,LINC01609,,,
brain,female,26981,0.01%,female,PHYHIP,1.619773991,0.085274569,663
brain,female,26981,0.00%,female,RP11-745L13.2,1.463711421,0.026430573,3
brain,male,3159,0.00%,male,SLC26A3,1.481557406,0.033159471,13
brain,male,3159,0.00%,male,RASGEF1B,1.59609375,0.076345843,50
brain,male,3159,0.01%,male,RP11-701H24.9,1.907132618,0.193624251,1276
brain,male,3159,,male,LINGO3,,,
brain,male,3159,,male,PDE4DIP,,,
brain,male,3159,,male,AC159540.1,,,
brain,male,3159,,male,RP11-289H16.1,,,
brain,male,3159,,male,RP11-219A15.1,,,
brain,male,3159,,male,LINC01609,,,
brain,male,3159,0.00%,male,PHYHIP,1.592208652,0.074880951,145
brain,male,3159,,male,RP11-745L13.2,,,
brain,female,1547,0.00%,female,SLC26A3,1.663235982,0.101662081,6
brain,female,1547,0.00%,female,RASGEF1B,1.610531769,0.081789754,25
brain,female,1547,0.01%,female,RP11-701H24.9,2.016823114,0.234983477,535
brain,female,1547,,female,LINGO3,,,
brain,female,1547,,female,PDE4DIP,,,
brain,female,1547,,female,AC159540.1,,,
brain,female,1547,,female,RP11-289H16.1,,,
brain,female,1547,,female,RP11-219A15.1,,,
brain,female,1547,,female,LINC01609,,,
brain,female,1547,0.00%,female,PHYHIP,1.688626497,0.111235673,115
brain,female,1547,,female,RP11-745L13.2,,,
brain,male,810033,0.24%,male,SLC26A3,1.659230855,0.100151932,22254
brain,male,810033,0.03%,male,RASGEF1B,1.571621907,0.06711864,2689
brain,male,810033,0.26%,male,RP11-701H24.9,1.886672458,0.185909669,24049
brain,male,810033,0.00%,male,LINGO3,1.602983588,0.078943683,438
brain,male,810033,0.28%,male,PDE4DIP,1.542594518,0.05617375,25688
brain,male,810033,0.02%,male,AC159540.1,1.591199962,0.074500621,1735
brain,male,810033,0.00%,male,RP11-289H16.1,1.442681789,0.018501269,2
brain,male,810033,,male,RP11-219A15.1,,,
brain,male,810033,0.00%,male,LINC01609,1.965514024,0.215637186,3
brain,male,810033,0.40%,male,PHYHIP,1.61839672,0.084755264,36442
brain,male,810033,0.00%,male,RP11-745L13.2,1.521702331,0.04829627,81
brain,female,503479,0.08%,female,SLC26A3,1.676190803,0.106546747,6965
brain,female,503479,0.03%,female,RASGEF1B,1.578360098,0.069659301,2484
brain,female,503479,0.10%,female,RP11-701H24.9,2.073568593,0.25637958,8832
brain,female,503479,0.01%,female,LINGO3,1.598107093,0.077104981,463
brain,female,503479,0.22%,female,PDE4DIP,1.550145655,0.059020936,20020
brain,female,503479,0.03%,female,AC159540.1,1.562458996,0.063663729,3108
brain,female,503479,0.00%,female,RP11-289H16.1,1.46966362,0.028674873,7
brain,female,503479,,female,RP11-219A15.1,,,
brain,female,503479,0.00%,female,LINC01609,1.529369831,0.051187331,12
brain,female,503479,0.27%,female,PHYHIP,1.643471199,0.094209693,24704
brain,female,503479,0.00%,female,RP11-745L13.2,1.53867001,0.054693999,216
brain,male,27463,0.00%,male,SLC26A3,1.623447548,0.086659698,147
brain,male,27463,0.01%,male,RASGEF1B,1.61222145,0.082426854,701
brain,male,27463,0.24%,male,RP11-701H24.9,1.891519154,0.187737134,21437
brain,male,27463,0.00%,male,LINGO3,1.527686238,0.050552526,1
brain,male,27463,,male,PDE4DIP,,,
brain,male,27463,,male,AC159540.1,,,
brain,male,27463,,male,RP11-289H16.1,,,
brain,male,27463,,male,RP11-219A15.1,,,
brain,male,27463,,male,LINC01609,,,
brain,male,27463,0.04%,male,PHYHIP,1.64469168,0.09466988,3981
brain,male,27463,,male,RP11-745L13.2,,,
brain,female,8530,0.00%,female,SLC26A3,1.580349835,0.070409539,88
brain,female,8530,0.01%,female,RASGEF1B,1.612462038,0.082517569,519
brain,female,8530,0.09%,female,RP11-701H24.9,2.085738152,0.260968159,8034
brain,female,8530,,female,LINGO3,,,
brain,female,8530,,female,PDE4DIP,,,
brain,female,8530,,female,AC159540.1,,,
brain,female,8530,,female,RP11-289H16.1,,,
brain,female,8530,,female,RP11-219A15.1,,,
brain,female,8530,,female,LINC01609,,,
brain,female,8530,0.04%,female,PHYHIP,1.726728546,0.125602198,3220
brain,female,8530,,female,RP11-745L13.2,,,
